row_key,month,specialty_code,specialty_name,providers,waiting_list,median_wait_weeks_est,pct_within_18_weeks
2024-05|C_100,2024-05,C_100,General Surgery Service,279,423824,15.0,57.0
2024-05|C_101,2024-05,C_101,Urology Service,220,418329,14.9,57.7
2024-05|C_110,2024-05,C_110,Trauma and Orthopaedic Service,309,845433,15.5,55.9
2024-05|C_120,2024-05,C_120,Ear Nose and Throat Service,182,657724,17.6,50.9
2024-05|C_130,2024-05,C_130,Ophthalmology Service,272,615479,11.7,66.4
2024-05|C_140,2024-05,C_140,Oral Surgery Service,120,330205,17.7,50.7
2024-05|C_150,2024-05,C_150,Neurosurgical Service,65,60016,14.9,57.5
2024-05|C_160,2024-05,C_160,Plastic Surgery Service,122,106322,16.5,53.0
2024-05|C_170,2024-05,C_170,Cardiothoracic Surgery Service,56,9335,11.5,66.4
2024-05|C_300,2024-05,C_300,General Internal Medicine Service,116,39739,11.5,67.8
2024-05|C_301,2024-05,C_301,Gastroenterology Service,212,391245,13.4,61.0
2024-05|C_320,2024-05,C_320,Cardiology Service,138,413836,13.9,60.6
2024-05|C_330,2024-05,C_330,Dermatology Service,128,424495,12.8,61.9
2024-05|C_340,2024-05,C_340,Respiratory Medicine Service,126,228341,12.8,64.2
2024-05|C_400,2024-05,C_400,Neurology Service,112,237762,16.5,53.7
2024-05|C_410,2024-05,C_410,Rheumatology Service,134,124214,11.6,66.8
2024-05|C_430,2024-05,C_430,Elderly Medicine Service,122,23947,7.9,78.8
2024-05|C_502,2024-05,C_502,Gynaecology Service,205,598348,16.1,54.4
2024-05|C_999,2024-05,C_999,Total,446,7631739,14.2,59.1
2024-05|X02,2024-05,X02,Other - Medical Services,166,645663,12.3,64.8
2024-05|X03,2024-05,X03,Other - Mental Health Services,32,2912,9.5,76.7
2024-05|X04,2024-05,X04,Other - Paediatric Services,124,364430,13.5,61.4
2024-05|X05,2024-05,X05,Other - Surgical Services,158,492663,13.9,59.5
2024-05|X06,2024-05,X06,Other - Other Services,197,177477,10.2,71.3
2024-06|C_100,2024-06,C_100,General Surgery Service,279,424280,15.0,56.8
2024-06|C_101,2024-06,C_101,Urology Service,222,415183,15.1,57.0
2024-06|C_110,2024-06,C_110,Trauma and Orthopaedic Service,306,847853,15.4,56.0
2024-06|C_120,2024-06,C_120,Ear Nose and Throat Service,182,659565,18.0,50.1
