row_key,month,provider_code,provider_name,specialty_code,specialty_name,waiting_list,median_wait_weeks_est,pct_within_18_weeks
2026-05|A0C5S|C_130,2026-05,A0C5S,SPAMEDICA GLOUCESTER,C_130,Ophthalmology Service,102,4.5,
2026-05|A0C5S|C_999,2026-05,A0C5S,SPAMEDICA GLOUCESTER,C_999,Total,102,4.5,
2026-05|A1D1B|C_130,2026-05,A1D1B,SPAMEDICA WEMBLEY,C_130,Ophthalmology Service,433,5.1,
2026-05|A1D1B|C_999,2026-05,A1D1B,SPAMEDICA WEMBLEY,C_999,Total,433,5.1,
2026-05|A1S9E|C_130,2026-05,A1S9E,OPTEGRA EYE HOSPITAL YORK,C_130,Ophthalmology Service,665,7.1,
2026-05|A1S9E|C_999,2026-05,A1S9E,OPTEGRA EYE HOSPITAL YORK,C_999,Total,665,7.1,
2026-05|A1U4J|C_130,2026-05,A1U4J,SPAMEDICA PORTSMOUTH,C_130,Ophthalmology Service,226,6.8,
2026-05|A1U4J|C_999,2026-05,A1U4J,SPAMEDICA PORTSMOUTH,C_999,Total,226,6.8,
2026-05|A4M8P|C_100,2026-05,A4M8P,BUCKSHAW HOSPITAL,C_100,General Surgery Service,909,8.3,
2026-05|A4M8P|C_101,2026-05,A4M8P,BUCKSHAW HOSPITAL,C_101,Urology Service,554,9.9,
2026-05|A4M8P|C_110,2026-05,A4M8P,BUCKSHAW HOSPITAL,C_110,Trauma and Orthopaedic Service,220,10.5,
2026-05|A4M8P|C_120,2026-05,A4M8P,BUCKSHAW HOSPITAL,C_120,Ear Nose and Throat Service,740,7.1,
2026-05|A4M8P|C_301,2026-05,A4M8P,BUCKSHAW HOSPITAL,C_301,Gastroenterology Service,8,7.0,
2026-05|A4M8P|C_502,2026-05,A4M8P,BUCKSHAW HOSPITAL,C_502,Gynaecology Service,611,17.2,
2026-05|A4M8P|C_999,2026-05,A4M8P,BUCKSHAW HOSPITAL,C_999,Total,3084,9.2,
2026-05|A4M8P|X02,2026-05,A4M8P,BUCKSHAW HOSPITAL,X02,Other - Medical Services,40,21.0,
2026-05|A4M8P|X06,2026-05,A4M8P,BUCKSHAW HOSPITAL,X06,Other - Other Services,2,24.0,
2026-05|A4Q9X|C_130,2026-05,A4Q9X,NEWMEDICA LEICESTER,C_130,Ophthalmology Service,906,8.3,
2026-05|A4Q9X|C_999,2026-05,A4Q9X,NEWMEDICA LEICESTER,C_999,Total,906,8.3,
2026-05|A4Y8X|C_130,2026-05,A4Y8X,ACES NOTTINGHAM,C_130,Ophthalmology Service,49,3.9,
2026-05|A4Y8X|C_999,2026-05,A4Y8X,ACES NOTTINGHAM,C_999,Total,49,3.9,
2026-05|A5E1F|C_130,2026-05,A5E1F,OPTEGRA EYE HOSPITAL PRESTON,C_130,Ophthalmology Service,239,6.8,
2026-05|A5E1F|C_999,2026-05,A5E1F,OPTEGRA EYE HOSPITAL PRESTON,C_999,Total,239,6.8,
2026-05|A6U7U|C_130,2026-05,A6U7U,OPTEGRA EYE HOSPITAL NOTTINGHAM,C_130,Ophthalmology Service,170,6.1,
2026-05|A6U7U|C_999,2026-05,A6U7U,OPTEGRA EYE HOSPITAL NOTTINGHAM,C_999,Total,170,6.1,
2026-05|A8L1O|C_130,2026-05,A8L1O,OPTEGRA EYE HOSPITAL LEICESTER,C_130,Ophthalmology Service,199,8.6,
2026-05|A8L1O|C_999,2026-05,A8L1O,OPTEGRA EYE HOSPITAL LEICESTER,C_999,Total,199,8.6,
2026-05|A9P5F|C_130,2026-05,A9P5F,ACES WHITE CITY,C_130,Ophthalmology Service,146,7.2,
2026-05|A9P5F|C_999,2026-05,A9P5F,ACES WHITE CITY,C_999,Total,146,7.2,
2026-05|A9T5Y|C_120,2026-05,A9T5Y,RSA (ATHENA SURGICAL CENTRE),C_120,Ear Nose and Throat Service,5,0.8,
2026-05|A9T5Y|C_999,2026-05,A9T5Y,RSA (ATHENA SURGICAL CENTRE),C_999,Total,5,0.8,
2026-05|AAH|C_100,2026-05,AAH,TETBURY HOSPITAL TRUST LTD,C_100,General Surgery Service,37,10.9,
2026-05|AAH|C_101,2026-05,AAH,TETBURY HOSPITAL TRUST LTD,C_101,Urology Service,29,2.2,
2026-05|AAH|C_110,2026-05,AAH,TETBURY HOSPITAL TRUST LTD,C_110,Trauma and Orthopaedic Service,19,7.5,
2026-05|AAH|C_130,2026-05,AAH,TETBURY HOSPITAL TRUST LTD,C_130,Ophthalmology Service,142,6.4,
2026-05|AAH|C_140,2026-05,AAH,TETBURY HOSPITAL TRUST LTD,C_140,Oral Surgery Service,28,16.5,
2026-05|AAH|C_320,2026-05,AAH,TETBURY HOSPITAL TRUST LTD,C_320,Cardiology Service,1,7.5,
2026-05|AAH|C_502,2026-05,AAH,TETBURY HOSPITAL TRUST LTD,C_502,Gynaecology Service,21,3.4,
2026-05|AAH|C_999,2026-05,AAH,TETBURY HOSPITAL TRUST LTD,C_999,Total,291,6.5,
2026-05|AAH|X06,2026-05,AAH,TETBURY HOSPITAL TRUST LTD,X06,Other - Other Services,14,9.0,
